ticket_id,priority_a_human_gave_it,hours_to_resolve,what_happened
TICK-00291,2,9.5,escalated
TICK-00292,4,62.3,closed_no_action
TICK-00293,3,61.9,resolved
TICK-00294,1,8.8,resolved
TICK-00295,4,125.2,resolved
TICK-00296,3,42.7,resolved
TICK-00297,3,55.3,escalated
TICK-00298,4,233.1,resolved
TICK-00299,2,5.7,resolved
TICK-00300,4,232.7,resolved
TICK-00301,1,4.2,resolved
TICK-00302,3,85.1,resolved
TICK-00303,2,25.1,resolved
TICK-00304,3,24.8,closed_no_action
TICK-00305,2,8.0,resolved
TICK-00306,4,212.2,resolved
TICK-00307,3,46.4,resolved
TICK-00308,1,5.0,escalated
TICK-00309,2,13.0,resolved
TICK-00310,4,170.7,escalated
TICK-00311,2,18.1,resolved
TICK-00312,3,70.3,resolved
TICK-00313,2,19.3,resolved
TICK-00314,4,126.7,resolved
TICK-00315,4,89.5,resolved
TICK-00316,1,7.2,resolved
TICK-00317,4,160.7,resolved
TICK-00318,3,57.2,resolved
TICK-00319,3,91.9,resolved
TICK-00320,2,24.8,escalated
TICK-00321,1,6.8,escalated
TICK-00322,4,48.7,resolved
TICK-00323,2,22.1,resolved
TICK-00324,4,58.8,resolved
TICK-00325,2,25.2,resolved
TICK-00326,2,24.4,resolved
TICK-00327,4,59.3,escalated
TICK-00328,4,76.6,escalated
TICK-00329,3,83.8,escalated
TICK-00330,3,23.8,resolved
TICK-00331,3,29.9,resolved
TICK-00332,4,53.6,resolved
TICK-00333,1,6.3,closed_no_action
TICK-00334,4,134.2,resolved
TICK-00335,3,76.7,resolved
TICK-00336,3,75.2,resolved
TICK-00337,4,246.1,resolved
TICK-00338,2,6.6,escalated
TICK-00339,1,2.4,resolved
TICK-00340,4,233.5,resolved
TICK-00341,2,25.6,resolved
TICK-00342,4,56.0,resolved
TICK-00343,2,7.3,resolved
TICK-00344,1,2.5,resolved
TICK-00345,4,219.4,escalated
TICK-00346,2,15.3,closed_no_action
TICK-00347,4,216.8,resolved
TICK-00348,4,74.6,resolved
TICK-00349,4,218.0,resolved
TICK-00350,4,141.8,resolved
TICK-00351,4,244.4,resolved
TICK-00352,4,56.0,resolved
TICK-00353,3,40.1,resolved
TICK-00354,2,12.1,resolved
TICK-00355,4,70.7,resolved
TICK-00356,3,70.0,resolved
TICK-00357,4,198.0,resolved
TICK-00358,4,113.5,resolved
TICK-00359,2,24.2,resolved
TICK-00360,3,52.7,escalated
TICK-00361,2,9.0,resolved
TICK-00362,3,26.5,resolved
TICK-00363,4,81.3,closed_no_action
TICK-00364,3,61.8,resolved
TICK-00365,4,101.2,resolved
TICK-00366,2,18.9,resolved
TICK-00367,4,112.9,resolved
TICK-00368,4,121.8,resolved
TICK-00369,1,5.5,escalated
TICK-00370,4,195.0,resolved
TICK-00371,1,2.4,resolved
TICK-00372,3,35.8,resolved
TICK-00373,4,126.1,resolved
TICK-00374,3,98.4,resolved
TICK-00375,1,8.4,resolved
TICK-00376,4,194.4,resolved
TICK-00377,4,146.1,resolved
TICK-00378,2,6.1,resolved
TICK-00379,3,39.7,resolved
TICK-00380,4,138.4,resolved
TICK-00381,4,222.4,resolved
TICK-00382,1,2.9,escalated
TICK-00383,1,4.3,resolved
TICK-00384,2,25.9,resolved
TICK-00385,4,218.9,resolved
TICK-00386,4,92.8,escalated
TICK-00387,4,148.5,resolved
TICK-00388,4,217.7,escalated
TICK-00389,1,3.6,resolved
TICK-00390,4,204.1,resolved
TICK-00391,2,12.1,resolved
TICK-00392,4,259.7,resolved
TICK-00393,3,97.9,resolved
TICK-00394,2,7.6,resolved
TICK-00395,3,64.6,escalated
TICK-00396,3,58.8,escalated
TICK-00397,4,263.0,resolved
TICK-00398,3,53.5,resolved
TICK-00399,4,86.3,resolved
TICK-00400,4,132.4,resolved
TICK-00401,4,220.1,resolved
TICK-00402,3,28.3,resolved
TICK-00403,3,41.0,resolved
TICK-00404,4,130.6,resolved
TICK-00405,3,74.7,resolved
TICK-00406,3,37.0,resolved
TICK-00407,4,250.7,resolved
TICK-00408,2,25.7,resolved
TICK-00409,1,5.9,resolved
TICK-00410,2,15.4,escalated
TICK-00411,4,158.1,resolved
TICK-00412,4,102.9,resolved
TICK-00413,3,62.5,resolved
TICK-00414,3,89.7,resolved
TICK-00415,4,88.1,resolved
TICK-00416,4,174.5,resolved
TICK-00417,4,249.3,resolved
TICK-00418,3,81.9,escalated
TICK-00419,1,8.6,resolved
TICK-00420,3,30.2,resolved
TICK-00421,4,82.6,escalated
TICK-00422,3,99.7,resolved
TICK-00423,3,83.5,resolved
TICK-00424,3,28.4,resolved
TICK-00425,1,3.6,resolved
TICK-00426,3,82.0,resolved
TICK-00427,3,27.6,resolved
TICK-00428,4,126.2,escalated
TICK-00429,3,70.5,closed_no_action
TICK-00430,4,107.4,resolved
TICK-00431,2,11.2,resolved
TICK-00432,3,34.8,resolved
TICK-00433,1,4.6,escalated
TICK-00434,2,19.1,resolved
TICK-00435,2,13.4,resolved
TICK-00436,4,116.3,resolved
TICK-00437,1,1.7,resolved
TICK-00438,4,116.7,resolved
TICK-00439,1,2.0,resolved
TICK-00440,3,45.6,escalated
TICK-00441,4,151.6,resolved
TICK-00442,3,102.5,resolved
TICK-00443,3,44.3,resolved
TICK-00444,3,49.8,resolved
TICK-00445,2,12.7,escalated
TICK-00446,4,133.2,resolved
TICK-00447,3,62.6,escalated
TICK-00448,1,2.2,resolved
TICK-00449,3,39.0,resolved
TICK-00450,1,6.2,resolved
TICK-00451,4,126.5,resolved
TICK-00452,3,73.6,resolved
TICK-00453,3,55.3,resolved
TICK-00454,4,84.1,resolved
TICK-00455,1,4.5,resolved
TICK-00456,2,16.3,resolved
TICK-00457,3,81.6,resolved
TICK-00458,2,23.6,resolved
TICK-00459,2,8.9,resolved
TICK-00460,1,5.9,resolved
TICK-00461,4,91.7,resolved
TICK-00462,4,78.6,escalated
TICK-00463,2,12.6,escalated
TICK-00464,4,106.6,resolved
TICK-00465,3,102.1,resolved
TICK-00466,1,5.4,resolved
TICK-00467,1,2.0,resolved
TICK-00468,2,12.8,resolved
TICK-00469,2,21.0,resolved
TICK-00470,4,194.9,escalated
TICK-00471,4,87.7,resolved
TICK-00472,4,54.1,resolved
TICK-00473,2,5.8,resolved
TICK-00474,2,5.3,resolved
TICK-00475,4,144.7,resolved
TICK-00476,4,166.2,closed_no_action
TICK-00477,3,75.4,resolved
TICK-00478,4,104.8,escalated
TICK-00479,3,49.3,resolved
TICK-00480,4,72.7,resolved
TICK-00481,3,41.0,resolved
TICK-00482,2,12.3,resolved
TICK-00483,3,20.4,escalated
TICK-00484,4,95.2,closed_no_action
TICK-00485,3,79.6,resolved
TICK-00486,4,185.0,resolved
TICK-00487,4,232.0,resolved
TICK-00488,1,3.8,escalated
TICK-00489,3,72.4,resolved
TICK-00490,4,184.4,resolved
TICK-00491,1,5.7,resolved
TICK-00492,3,73.4,resolved
TICK-00493,4,137.4,resolved
TICK-00494,1,8.8,resolved
TICK-00495,2,10.6,resolved
TICK-00496,1,2.8,resolved
TICK-00497,2,17.5,resolved
TICK-00498,2,11.7,resolved
TICK-00499,1,5.7,resolved
TICK-00500,4,109.6,resolved
TICK-00501,4,107.3,resolved
TICK-00502,2,23.4,resolved
TICK-00503,1,3.5,resolved
TICK-00504,3,38.7,resolved
TICK-00505,4,88.6,resolved
TICK-00506,3,94.2,resolved
TICK-00507,2,12.4,resolved
TICK-00508,1,5.9,resolved
TICK-00509,4,132.7,resolved
TICK-00510,4,84.8,resolved
TICK-00511,3,61.4,resolved
TICK-00512,3,41.1,resolved
TICK-00513,1,1.8,resolved
TICK-00514,3,100.9,resolved
TICK-00515,1,6.1,resolved
TICK-00516,4,217.6,resolved
TICK-00517,1,4.5,escalated
TICK-00518,4,165.9,resolved
TICK-00519,1,2.2,resolved
TICK-00520,3,91.7,resolved
TICK-00521,4,159.5,resolved
TICK-00522,3,40.6,resolved
TICK-00523,3,31.8,resolved
TICK-00524,4,131.3,resolved
TICK-00525,4,149.1,resolved
TICK-00526,2,10.8,resolved
TICK-00527,3,25.0,resolved
TICK-00528,3,29.1,resolved
TICK-00529,4,96.7,resolved
TICK-00530,4,121.6,resolved
TICK-00531,2,21.7,resolved
TICK-00532,4,134.2,resolved
TICK-00533,4,247.6,resolved
TICK-00534,4,70.5,resolved
TICK-00535,3,79.3,resolved
TICK-00536,4,262.0,resolved
TICK-00537,2,19.0,resolved
TICK-00538,3,23.9,escalated
TICK-00539,3,101.5,resolved
TICK-00540,1,5.4,resolved
TICK-00541,1,7.4,resolved
TICK-00542,4,244.1,resolved
TICK-00543,3,29.9,resolved
TICK-00544,3,101.6,resolved
TICK-00545,4,57.1,resolved
TICK-00546,4,118.4,resolved
TICK-00547,3,98.0,resolved
TICK-00548,2,25.4,closed_no_action
TICK-00549,1,4.0,resolved
TICK-00550,2,9.8,resolved
TICK-00551,4,172.4,resolved
TICK-00552,2,15.9,resolved
TICK-00553,4,253.2,escalated
TICK-00554,3,57.1,resolved
TICK-00555,2,5.7,escalated
TICK-00556,2,24.8,resolved
TICK-00557,2,20.6,resolved
TICK-00558,3,82.0,resolved
TICK-00559,2,25.3,resolved
TICK-00560,3,19.5,resolved
TICK-00561,2,15.4,resolved
TICK-00562,4,215.1,resolved
TICK-00563,3,61.1,resolved
TICK-00564,3,88.5,resolved
TICK-00565,2,12.0,resolved
TICK-00566,2,10.7,resolved
TICK-00567,4,90.0,resolved
TICK-00568,3,43.8,resolved
TICK-00569,2,12.0,resolved
TICK-00570,2,20.8,resolved
TICK-00571,3,98.8,resolved
TICK-00572,4,134.3,resolved
TICK-00573,3,64.1,resolved
TICK-00574,1,3.0,resolved
TICK-00575,3,99.9,resolved
TICK-00576,4,256.8,resolved
TICK-00577,3,63.4,resolved
TICK-00578,3,100.9,resolved
TICK-00579,1,4.4,resolved
TICK-00580,4,134.0,closed_no_action
TICK-00581,1,6.0,resolved
TICK-00582,3,47.9,resolved
TICK-00583,3,82.2,resolved
TICK-00584,3,98.5,resolved
TICK-00585,1,7.0,resolved
TICK-00586,3,49.3,resolved
TICK-00587,4,67.6,resolved
TICK-00588,1,6.1,escalated
TICK-00589,4,205.9,resolved
TICK-00590,2,24.7,escalated
TICK-00591,4,190.3,resolved
TICK-00592,1,6.4,resolved
TICK-00593,1,7.1,resolved
TICK-00594,2,11.0,resolved
TICK-00595,1,6.5,resolved
TICK-00596,4,217.7,closed_no_action
TICK-00597,4,235.5,resolved
TICK-00598,4,125.2,resolved
TICK-00599,4,128.5,resolved
TICK-00600,4,228.8,resolved
TICK-00601,3,62.5,resolved
TICK-00602,4,95.7,resolved
TICK-00603,1,3.1,resolved
TICK-00604,4,183.0,resolved
TICK-00605,1,3.2,closed_no_action
TICK-00606,1,5.2,resolved
TICK-00607,4,130.8,resolved
TICK-00608,4,208.5,escalated
TICK-00609,3,69.1,resolved
TICK-00610,3,94.1,closed_no_action
TICK-00611,1,4.2,resolved
TICK-00612,4,147.0,resolved
TICK-00613,2,20.2,resolved
TICK-00614,3,32.0,resolved
TICK-00615,2,18.8,escalated
TICK-00616,1,5.7,resolved
TICK-00617,4,257.6,resolved
TICK-00618,1,8.1,resolved
TICK-00619,3,45.1,resolved
TICK-00620,3,63.0,resolved
TICK-00621,1,5.2,resolved
TICK-00622,4,195.9,escalated
TICK-00623,3,39.0,resolved
TICK-00624,3,103.4,resolved
TICK-00625,3,93.2,resolved
TICK-00626,1,5.5,resolved
TICK-00627,2,16.8,resolved
TICK-00628,2,10.3,resolved
TICK-00629,2,10.9,resolved
TICK-00630,4,224.6,resolved
TICK-00631,4,80.5,escalated
TICK-00632,4,216.4,resolved
TICK-00633,1,7.8,escalated
TICK-00634,4,209.9,resolved
TICK-00635,4,141.8,resolved
TICK-00636,2,21.3,resolved
TICK-00637,4,54.5,resolved
TICK-00638,4,51.2,escalated
TICK-00639,4,151.2,resolved
TICK-00640,2,11.9,closed_no_action
TICK-00641,4,51.1,resolved
TICK-00642,3,48.3,escalated
TICK-00643,1,7.6,resolved
TICK-00644,1,5.7,resolved
TICK-00645,4,164.8,closed_no_action
TICK-00646,4,93.1,resolved
TICK-00647,4,78.3,resolved
TICK-00648,4,190.7,resolved
TICK-00649,2,21.2,resolved
TICK-00650,1,4.6,resolved
TICK-00651,3,22.8,resolved
TICK-00652,4,171.8,resolved
TICK-00653,4,205.5,resolved
TICK-00654,4,208.0,resolved
TICK-00655,2,18.6,resolved
TICK-00656,2,13.4,resolved
TICK-00657,1,6.0,closed_no_action
TICK-00658,3,31.8,resolved
TICK-00659,3,80.3,closed_no_action
TICK-00660,4,163.6,resolved
TICK-00661,3,67.5,resolved
TICK-00662,3,46.0,resolved
TICK-00663,3,65.0,resolved
TICK-00664,1,4.3,resolved
TICK-00665,3,21.0,resolved
TICK-00666,1,5.5,closed_no_action
TICK-00667,3,88.9,resolved
TICK-00668,3,77.0,resolved
TICK-00669,3,84.6,resolved
TICK-00670,1,8.7,resolved
TICK-00671,4,124.0,resolved
TICK-00672,4,155.0,resolved
TICK-00673,2,23.9,resolved
TICK-00674,4,102.7,resolved
TICK-00675,4,109.5,resolved
TICK-00676,1,2.9,resolved
TICK-00677,2,12.4,resolved
TICK-00678,2,16.6,resolved
TICK-00679,4,223.8,resolved
TICK-00680,3,72.1,resolved
TICK-00681,2,14.1,resolved
TICK-00682,3,48.4,resolved
TICK-00683,4,149.6,resolved
TICK-00684,1,3.6,resolved
TICK-00685,3,77.6,resolved
TICK-00686,2,20.0,resolved
TICK-00687,4,191.4,resolved
TICK-00688,1,8.7,escalated
TICK-00689,4,182.3,resolved
TICK-00690,2,19.0,resolved
TICK-00691,1,4.5,resolved
TICK-00692,3,34.5,resolved
TICK-00693,4,60.1,resolved
TICK-00694,3,71.5,resolved
TICK-00695,3,35.5,resolved
TICK-00696,4,108.8,resolved
TICK-00697,3,68.4,resolved
TICK-00698,3,59.3,escalated
TICK-00699,1,2.3,resolved
TICK-00700,2,6.2,resolved
TICK-00701,4,121.7,resolved
TICK-00702,3,79.5,escalated
TICK-00703,4,182.7,resolved
TICK-00704,3,50.0,resolved
TICK-00705,3,87.5,resolved
TICK-00706,2,14.6,resolved
TICK-00707,3,53.4,resolved
TICK-00708,1,2.3,resolved
TICK-00709,1,3.2,resolved
TICK-00710,3,21.2,resolved
TICK-00711,3,42.2,resolved
TICK-00712,2,5.7,resolved
TICK-00713,4,94.8,resolved
TICK-00714,4,64.8,resolved
TICK-00715,4,208.2,resolved
TICK-00716,4,51.1,resolved
TICK-00717,2,13.7,closed_no_action
TICK-00718,3,89.2,closed_no_action
TICK-00719,4,128.6,escalated
TICK-00720,3,26.7,resolved
TICK-00721,2,23.2,resolved
TICK-00722,4,195.7,resolved
TICK-00723,1,6.8,escalated
TICK-00724,4,92.7,resolved
TICK-00725,2,19.5,closed_no_action
TICK-00726,1,7.1,resolved
TICK-00727,3,37.9,resolved
TICK-00728,4,102.7,resolved
TICK-00729,3,86.2,resolved
TICK-00730,4,142.6,resolved
TICK-00731,3,60.2,resolved
TICK-00732,4,173.7,resolved
TICK-00733,2,11.7,resolved
TICK-00734,4,170.3,resolved
TICK-00735,3,83.9,resolved
TICK-00736,4,200.2,resolved
TICK-00737,4,149.4,resolved
TICK-00738,4,89.4,resolved
TICK-00739,4,73.3,resolved
TICK-00740,4,102.5,closed_no_action
TICK-00741,4,176.6,resolved
TICK-00742,2,5.0,resolved
TICK-00743,4,91.9,resolved
TICK-00744,1,4.7,escalated
TICK-00745,3,47.0,resolved
TICK-00746,3,52.0,escalated
TICK-00747,3,57.0,resolved
TICK-00748,4,102.1,resolved
TICK-00749,4,110.3,resolved
TICK-00750,4,163.3,resolved
TICK-00751,1,4.9,resolved
TICK-00752,2,25.6,escalated
TICK-00753,4,73.0,escalated
TICK-00754,3,97.3,resolved
TICK-00755,4,56.8,closed_no_action
TICK-00756,2,12.3,resolved
TICK-00757,3,31.6,resolved
TICK-00758,1,1.6,resolved
TICK-00759,1,8.5,resolved
TICK-00760,1,4.0,resolved
TICK-00761,3,54.9,resolved
TICK-00762,1,2.5,resolved
TICK-00763,4,65.8,resolved
TICK-00764,3,76.7,resolved
TICK-00765,4,227.7,resolved
TICK-00766,3,101.4,resolved
TICK-00767,4,79.9,closed_no_action
TICK-00768,4,241.4,resolved
TICK-00769,2,19.0,closed_no_action
TICK-00770,1,6.8,resolved
TICK-00771,2,14.2,escalated
TICK-00772,3,98.2,resolved
TICK-00773,3,39.8,resolved
TICK-00774,4,216.4,escalated
TICK-00775,1,4.6,escalated
TICK-00776,3,102.6,resolved
TICK-00777,1,6.8,escalated
TICK-00778,3,28.1,resolved
TICK-00779,4,88.6,resolved
TICK-00780,3,29.5,resolved
TICK-00781,1,8.6,resolved
TICK-00782,3,46.7,resolved
TICK-00783,3,76.0,resolved
TICK-00784,2,18.4,resolved
TICK-00785,3,61.8,resolved
TICK-00786,2,25.9,resolved
TICK-00787,3,30.7,resolved
TICK-00788,2,13.0,resolved
TICK-00789,4,216.8,resolved
TICK-00790,4,145.1,resolved
TICK-00791,4,203.8,resolved
TICK-00792,1,6.1,closed_no_action
TICK-00793,2,18.4,resolved
TICK-00794,3,78.8,resolved
TICK-00795,1,2.5,resolved
TICK-00796,4,190.0,resolved
TICK-00797,4,210.7,resolved
TICK-00798,1,3.2,resolved
TICK-00799,4,163.1,resolved
TICK-00800,1,8.0,resolved
TICK-00801,3,99.3,escalated
TICK-00802,3,88.2,resolved
TICK-00803,3,31.3,resolved
TICK-00804,4,215.5,resolved
TICK-00805,1,6.8,closed_no_action
TICK-00806,4,226.1,resolved
TICK-00807,4,204.4,resolved
TICK-00808,4,59.5,resolved
TICK-00809,3,96.1,escalated
TICK-00810,1,2.7,resolved
TICK-00811,3,37.7,resolved
TICK-00812,1,4.0,resolved
