customer_id,company_name,plan,monthly_value_gbp,months_as_customer,promised_response_hours,has_complained_before
CUST-0056,Iron Labs,Basic,56,39,24,True
CUST-0057,Green Digital,Free,0,17,72,False
CUST-0058,Blue Group,Pro,766,3,8,True
CUST-0059,Green Field,Pro,1104,36,8,False
CUST-0060,Blue Harbour,Basic,108,58,24,True
CUST-0061,Bright Retail,Free,0,28,72,True
CUST-0062,North Systems,Free,0,44,72,True
CUST-0063,Red Group,Free,0,60,72,False
CUST-0064,Iron Group,Pro,250,12,8,False
CUST-0065,Stone Works,Free,0,11,72,False
CUST-0066,North Partners,Free,0,13,72,False
CUST-0067,Green Works,Basic,48,2,24,False
CUST-0068,Green Harbour,Free,0,23,72,False
CUST-0069,Red Systems,Free,0,8,72,False
CUST-0070,Oak Labs,Free,0,7,72,False
CUST-0071,Bright Group,Free,0,25,72,False
CUST-0072,North Group,Free,0,34,72,False
CUST-0073,Silver Systems,Basic,75,5,24,False
CUST-0074,Oak Systems,Pro,455,47,8,False
CUST-0075,Stone Systems,Basic,71,45,24,False
CUST-0076,Stone Group,Free,0,40,72,False
CUST-0077,North Labs,Free,0,14,72,False
CUST-0078,Bright Partners,Basic,76,29,24,False
CUST-0079,Iron Harbour,Basic,56,33,24,False
CUST-0080,Blue Works,Basic,106,20,24,True
CUST-0081,North Bridge,Free,0,31,72,False
CUST-0082,Clear Group,Pro,1489,37,8,True
CUST-0083,Clear Group,Basic,51,10,24,False
CUST-0084,Blue Group,Free,0,12,72,False
CUST-0085,Clear Bridge,Basic,91,16,24,False
CUST-0086,Iron Partners,Free,0,49,72,False
CUST-0087,Red Group,Basic,90,29,24,False
CUST-0088,Clear Partners,Basic,53,49,24,True
CUST-0089,Red Partners,Basic,100,16,24,False
CUST-0090,Green Works,Free,0,22,72,False
CUST-0091,Iron Field,Basic,49,25,24,False
CUST-0092,Blue Group,Basic,72,22,24,False
CUST-0093,Silver Group,Free,0,58,72,False
CUST-0094,North Retail,Enterprise,27928,31,2,True
CUST-0095,Stone Group,Free,0,32,72,True
CUST-0096,North Group,Free,0,43,72,False
CUST-0097,Iron Partners,Free,0,40,72,False
CUST-0098,Oak Retail,Pro,255,6,8,False
CUST-0099,Clear Field,Free,0,17,72,False
CUST-0100,Bright Systems,Free,0,18,72,False
CUST-0101,Green Harbour,Pro,1163,2,8,False
CUST-0102,Bright Works,Free,0,50,72,False
CUST-0103,North Works,Free,0,54,72,True
CUST-0104,Iron Partners,Free,0,37,72,False
CUST-0105,Green Systems,Basic,41,39,24,False
CUST-0106,Blue Field,Basic,59,7,24,False
CUST-0107,Oak Group,Pro,1012,46,8,True
CUST-0108,Silver Harbour,Basic,109,50,24,False
CUST-0109,Blue Retail,Basic,120,3,24,False
CUST-0110,Bright Harbour,Free,0,1,72,False
CUST-0111,Blue Group,Pro,941,41,8,False
CUST-0112,Iron Group,Basic,42,47,24,False
CUST-0113,Oak Digital,Basic,119,31,24,False
CUST-0114,Oak Labs,Pro,860,55,8,True
CUST-0115,Green Partners,Enterprise,18981,49,2,False
CUST-0116,Stone Systems,Basic,23,32,24,False
CUST-0117,Silver Systems,Free,0,22,72,False
CUST-0118,Green Digital,Basic,21,34,24,False
CUST-0119,Stone Partners,Free,0,45,72,False
CUST-0120,Clear Bridge,Basic,31,19,24,True
CUST-0121,Green Retail,Basic,67,31,24,False
CUST-0122,Red Systems,Free,0,45,72,False
CUST-0123,Silver Harbour,Free,0,21,72,True
CUST-0124,Iron Works,Basic,47,48,24,False
CUST-0125,Red Retail,Basic,56,7,24,False
CUST-0126,Bright Field,Free,0,1,72,False
CUST-0127,North Bridge,Free,0,45,72,False
CUST-0128,Clear Harbour,Basic,21,37,24,False
CUST-0129,Bright Field,Basic,26,17,24,False
CUST-0130,Blue Group,Basic,82,5,24,False
CUST-0131,Iron Field,Basic,92,20,24,True
CUST-0132,Red Group,Free,0,50,72,False
CUST-0133,Clear Labs,Basic,95,28,24,False
CUST-0134,Oak Harbour,Basic,117,14,24,False
CUST-0135,Blue Field,Free,0,12,72,False
CUST-0136,Stone Partners,Free,0,19,72,True
CUST-0137,Green Partners,Free,0,44,72,True
CUST-0138,Oak Works,Free,0,8,72,False
CUST-0139,Green Field,Basic,29,4,24,True
CUST-0140,Oak Labs,Free,0,8,72,False
CUST-0141,Stone Labs,Free,0,29,72,True
CUST-0142,Stone Systems,Free,0,2,72,True
CUST-0143,Oak Retail,Enterprise,4359,49,2,False
CUST-0144,North Field,Free,0,34,72,False
CUST-0145,Iron Retail,Pro,1092,41,8,False
CUST-0146,Clear Systems,Enterprise,29761,22,2,False
CUST-0147,Iron Systems,Free,0,45,72,False
CUST-0148,Stone Digital,Basic,24,30,24,True
CUST-0149,Blue Group,Free,0,43,72,False
CUST-0150,North Works,Basic,86,24,24,False
CUST-0151,Clear Bridge,Basic,46,18,24,False
CUST-0152,Clear Partners,Pro,448,2,8,False
CUST-0153,Silver Field,Basic,59,36,24,True
CUST-0154,Silver Harbour,Free,0,8,72,False
CUST-0155,Green Digital,Free,0,27,72,False
CUST-0156,Silver Partners,Enterprise,39127,10,2,False
CUST-0157,Red Field,Pro,342,18,8,False
CUST-0158,Bright Digital,Pro,747,53,8,True
CUST-0159,Oak Retail,Basic,104,32,24,False
CUST-0160,Clear Systems,Free,0,36,72,False
CUST-0161,Bright Works,Free,0,37,72,False
CUST-0162,Stone Bridge,Pro,851,48,8,False
CUST-0163,Stone Group,Pro,511,32,8,False
CUST-0164,Oak Systems,Free,0,56,72,False
CUST-0165,Clear Bridge,Free,0,27,72,False
CUST-0166,Blue Partners,Enterprise,20368,22,2,False
CUST-0167,Blue Systems,Free,0,21,72,False
CUST-0168,Clear Digital,Pro,273,40,8,True
CUST-0169,Green Works,Basic,115,6,24,False
CUST-0170,Blue Partners,Free,0,45,72,False
CUST-0171,Bright Bridge,Free,0,23,72,False
CUST-0172,Red Group,Free,0,11,72,True
CUST-0173,Stone Retail,Basic,107,16,24,False
CUST-0174,Silver Partners,Basic,101,17,24,False
CUST-0175,Clear Labs,Basic,106,35,24,True
CUST-0176,Bright Retail,Free,0,41,72,False
CUST-0177,Clear Labs,Basic,45,25,24,False
CUST-0178,Stone Retail,Free,0,37,72,False
CUST-0179,North Group,Basic,55,1,24,False
CUST-0180,North Retail,Basic,115,32,24,False
CUST-0181,Silver Retail,Pro,921,15,8,False
CUST-0182,Iron Harbour,Basic,100,42,24,True
CUST-0183,North Retail,Pro,947,47,8,True
CUST-0184,Bright Group,Pro,559,13,8,True
CUST-0185,Bright Digital,Basic,84,59,24,False
CUST-0186,Clear Labs,Free,0,52,72,True
CUST-0187,Iron Works,Enterprise,29044,55,2,False
CUST-0188,Stone Bridge,Free,0,35,72,True
CUST-0189,Green Retail,Free,0,53,72,False
CUST-0190,Silver Partners,Free,0,40,72,False
CUST-0191,Oak Works,Basic,102,5,24,False
CUST-0192,Green Group,Basic,34,9,24,True
CUST-0193,Clear Harbour,Free,0,16,72,False
CUST-0194,Clear Systems,Free,0,38,72,False
CUST-0195,Stone Harbour,Free,0,40,72,False
CUST-0196,North Systems,Enterprise,17238,29,2,False
CUST-0197,Bright Harbour,Free,0,35,72,False
CUST-0198,North Group,Basic,55,13,24,False
CUST-0199,Clear Harbour,Enterprise,16900,42,2,False
CUST-0200,North Systems,Enterprise,18962,9,2,False
