ticket_id,customer_id,promised_response_hours,first_reply_hours,hours_left_before_promise_broken,promise_was_broken
TICK-00136,CUST-0196,2,7.4,-5.4,True
TICK-00137,CUST-0188,72,38.7,33.3,False
TICK-00138,CUST-0035,24,15.4,8.6,False
TICK-00139,CUST-0198,24,4.6,19.4,False
TICK-00140,CUST-0170,72,17.2,54.8,False
TICK-00141,CUST-0042,72,6.0,66.0,False
TICK-00142,CUST-0066,72,6.3,65.7,False
TICK-00143,CUST-0166,2,6.1,-4.1,True
TICK-00144,CUST-0043,72,55.9,16.1,False
TICK-00145,CUST-0106,24,15.8,8.2,False
TICK-00146,CUST-0099,72,62.9,9.1,False
TICK-00147,CUST-0097,72,2.5,69.5,False
TICK-00148,CUST-0159,24,14.3,9.7,False
TICK-00149,CUST-0057,72,39.7,32.3,False
TICK-00150,CUST-0056,24,24.3,-0.3,True
TICK-00151,CUST-0150,24,54.1,-30.1,True
TICK-00152,CUST-0076,72,59.7,12.3,False
TICK-00153,CUST-0046,72,24.8,47.2,False
TICK-00154,CUST-0193,72,231.7,-159.7,True
TICK-00155,CUST-0061,72,56.3,15.7,False
TICK-00156,CUST-0181,8,1.4,6.6,False
TICK-00157,CUST-0143,2,3.8,-1.8,True
TICK-00158,CUST-0135,72,19.2,52.8,False
TICK-00159,CUST-0167,72,33.6,38.4,False
TICK-00160,CUST-0125,24,38.8,-14.8,True
TICK-00161,CUST-0192,24,13.7,10.3,False
TICK-00162,CUST-0031,72,18.4,53.6,False
TICK-00163,CUST-0008,72,74.4,-2.4,True
TICK-00164,CUST-0153,24,5.6,18.4,False
TICK-00165,CUST-0014,8,2.5,5.5,False
TICK-00166,CUST-0073,24,5.5,18.5,False
TICK-00167,CUST-0071,72,18.3,53.7,False
TICK-00168,CUST-0188,72,58.0,14.0,False
TICK-00169,CUST-0101,8,1.2,6.8,False
TICK-00170,CUST-0169,24,11.3,12.7,False
TICK-00171,CUST-0012,72,42.4,29.6,False
TICK-00172,CUST-0058,8,1.5,6.5,False
TICK-00173,CUST-0170,72,10.6,61.4,False
TICK-00174,CUST-0043,72,53.8,18.2,False
TICK-00175,CUST-0047,72,58.9,13.1,False
TICK-00176,CUST-0046,72,24.1,47.9,False
TICK-00177,CUST-0124,24,19.0,5.0,False
TICK-00178,CUST-0191,24,18.5,5.5,False
TICK-00179,CUST-0175,24,18.5,5.5,False
TICK-00180,CUST-0180,24,83.3,-59.3,True
TICK-00181,CUST-0017,24,4.5,19.5,False
TICK-00182,CUST-0131,24,11.3,12.7,False
TICK-00183,CUST-0186,72,26.5,45.5,False
TICK-00184,CUST-0088,24,57.0,-33.0,True
TICK-00185,CUST-0124,24,2.2,21.8,False
TICK-00186,CUST-0122,72,16.3,55.7,False
TICK-00187,CUST-0021,72,63.8,8.2,False
TICK-00188,CUST-0033,72,13.8,58.2,False
TICK-00189,CUST-0067,24,44.1,-20.1,True
TICK-00190,CUST-0176,72,57.9,14.1,False
TICK-00191,CUST-0144,72,36.2,35.8,False
TICK-00192,CUST-0090,72,29.1,42.9,False
TICK-00193,CUST-0162,8,4.8,3.2,False
TICK-00194,CUST-0114,8,24.8,-16.8,True
TICK-00195,CUST-0025,8,5.4,2.6,False
TICK-00196,CUST-0044,2,1.2,0.8,False
TICK-00197,CUST-0080,24,10.2,13.8,False
TICK-00198,CUST-0194,72,41.9,30.1,False
TICK-00199,CUST-0161,72,29.6,42.4,False
TICK-00200,CUST-0049,24,6.9,17.1,False
TICK-00201,CUST-0009,8,5.6,2.4,False
TICK-00202,CUST-0064,8,5.3,2.7,False
TICK-00203,CUST-0051,24,1.1,22.9,False
TICK-00204,CUST-0198,24,21.2,2.8,False
TICK-00205,CUST-0050,24,10.2,13.8,False
TICK-00206,CUST-0076,72,46.8,25.2,False
TICK-00207,CUST-0197,72,12.6,59.4,False
TICK-00208,CUST-0169,24,28.4,-4.4,True
TICK-00209,CUST-0015,72,34.2,37.8,False
TICK-00210,CUST-0143,2,0.7,1.3,False
TICK-00211,CUST-0091,24,12.0,12.0,False
TICK-00212,CUST-0102,72,182.4,-110.4,True
TICK-00213,CUST-0040,72,109.3,-37.3,True
TICK-00214,CUST-0188,72,208.9,-136.9,True
TICK-00215,CUST-0082,8,11.6,-3.6,True
TICK-00216,CUST-0013,72,64.6,7.4,False
TICK-00217,CUST-0111,8,22.8,-14.8,True
TICK-00218,CUST-0060,24,2.6,21.4,False
TICK-00219,CUST-0190,72,4.1,67.9,False
TICK-00220,CUST-0014,8,20.2,-12.2,True
TICK-00221,CUST-0153,24,7.8,16.2,False
TICK-00222,CUST-0129,24,11.3,12.7,False
TICK-00223,CUST-0110,72,164.9,-92.9,True
TICK-00224,CUST-0041,8,1.5,6.5,False
TICK-00225,CUST-0157,8,4.7,3.3,False
TICK-00226,CUST-0036,8,2.5,5.5,False
TICK-00227,CUST-0199,2,2.3,-0.3,True
TICK-00228,CUST-0189,72,59.6,12.4,False
TICK-00229,CUST-0024,8,6.5,1.5,False
TICK-00230,CUST-0083,24,21.1,2.9,False
TICK-00231,CUST-0197,72,7.8,64.2,False
TICK-00232,CUST-0196,2,0.2,1.8,False
TICK-00233,CUST-0054,72,39.7,32.3,False
TICK-00234,CUST-0093,72,26.9,45.1,False
TICK-00235,CUST-0028,2,4.1,-2.1,True
TICK-00236,CUST-0187,2,8.0,-6.0,True
TICK-00237,CUST-0164,72,2.1,69.9,False
TICK-00238,CUST-0173,24,45.6,-21.6,True
TICK-00239,CUST-0148,24,4.2,19.8,False
TICK-00240,CUST-0181,8,26.7,-18.7,True
TICK-00241,CUST-0124,24,1.0,23.0,False
TICK-00242,CUST-0002,72,41.5,30.5,False
TICK-00243,CUST-0071,72,45.7,26.3,False
TICK-00244,CUST-0080,24,69.3,-45.3,True
TICK-00245,CUST-0051,24,20.5,3.5,False
TICK-00246,CUST-0094,2,1.2,0.8,False
TICK-00247,CUST-0183,8,17.2,-9.2,True
TICK-00248,CUST-0111,8,2.5,5.5,False
TICK-00249,CUST-0104,72,42.9,29.1,False
TICK-00250,CUST-0148,24,85.4,-61.4,True
TICK-00251,CUST-0014,8,1.4,6.6,False
TICK-00252,CUST-0093,72,101.3,-29.3,True
TICK-00253,CUST-0117,72,37.5,34.5,False
TICK-00254,CUST-0140,72,34.0,38.0,False
TICK-00255,CUST-0170,72,30.5,41.5,False
TICK-00256,CUST-0076,72,206.9,-134.9,True
TICK-00257,CUST-0020,72,24.1,47.9,False
TICK-00258,CUST-0125,24,15.9,8.1,False
TICK-00259,CUST-0030,8,18.8,-10.8,True
TICK-00260,CUST-0011,72,50.1,21.9,False
TICK-00261,CUST-0050,24,6.3,17.7,False
TICK-00262,CUST-0015,72,58.3,13.7,False
TICK-00263,CUST-0065,72,64.5,7.5,False
TICK-00264,CUST-0113,24,75.5,-51.5,True
TICK-00265,CUST-0187,2,1.3,0.7,False
TICK-00266,CUST-0187,2,1.7,0.3,False
TICK-00267,CUST-0088,24,19.1,4.9,False
TICK-00268,CUST-0050,24,7.4,16.6,False
TICK-00269,CUST-0168,8,3.5,4.5,False
TICK-00270,CUST-0004,24,4.5,19.5,False
TICK-00271,CUST-0174,24,12.0,12.0,False
TICK-00272,CUST-0035,24,54.0,-30.0,True
TICK-00273,CUST-0164,72,15.4,56.6,False
TICK-00274,CUST-0159,24,14.5,9.5,False
TICK-00275,CUST-0054,72,58.0,14.0,False
TICK-00276,CUST-0051,24,10.6,13.4,False
TICK-00277,CUST-0117,72,171.1,-99.1,True
TICK-00278,CUST-0076,72,30.1,41.9,False
TICK-00279,CUST-0064,8,3.0,5.0,False
TICK-00280,CUST-0143,2,1.6,0.4,False
TICK-00281,CUST-0036,8,3.2,4.8,False
TICK-00282,CUST-0148,24,8.0,16.0,False
TICK-00283,CUST-0144,72,18.1,53.9,False
TICK-00284,CUST-0129,24,4.0,20.0,False
TICK-00285,CUST-0179,24,1.5,22.5,False
TICK-00286,CUST-0086,72,121.0,-49.0,True
TICK-00287,CUST-0013,72,7.8,64.2,False
TICK-00288,CUST-0095,72,32.5,39.5,False
TICK-00289,CUST-0040,72,58.4,13.6,False
TICK-00290,CUST-0007,8,24.2,-16.2,True
TICK-00291,CUST-0126,72,29.0,43.0,False
TICK-00292,CUST-0190,72,64.0,8.0,False
TICK-00293,CUST-0194,72,137.2,-65.2,True
TICK-00294,CUST-0058,8,5.6,2.4,False
TICK-00295,CUST-0191,24,7.0,17.0,False
TICK-00296,CUST-0093,72,20.6,51.4,False
TICK-00297,CUST-0093,72,53.9,18.1,False
TICK-00298,CUST-0030,8,1.0,7.0,False
TICK-00299,CUST-0059,8,3.5,4.5,False
TICK-00300,CUST-0003,72,147.1,-75.1,True
TICK-00301,CUST-0157,8,30.1,-22.1,True
TICK-00302,CUST-0113,24,11.3,12.7,False
TICK-00303,CUST-0143,2,0.3,1.7,False
TICK-00304,CUST-0004,24,77.4,-53.4,True
TICK-00305,CUST-0087,24,95.1,-71.1,True
TICK-00306,CUST-0032,72,40.4,31.6,False
TICK-00307,CUST-0134,24,32.6,-8.6,True
TICK-00308,CUST-0118,24,14.3,9.7,False
TICK-00309,CUST-0130,24,66.0,-42.0,True
TICK-00310,CUST-0092,24,14.3,9.7,False
TICK-00311,CUST-0069,72,216.2,-144.2,True
TICK-00312,CUST-0112,24,2.2,21.8,False
TICK-00313,CUST-0146,2,0.6,1.4,False
TICK-00314,CUST-0005,8,0.6,7.4,False
TICK-00315,CUST-0039,72,15.6,56.4,False
TICK-00316,CUST-0080,24,18.4,5.6,False
TICK-00317,CUST-0022,72,47.6,24.4,False
TICK-00318,CUST-0199,2,0.5,1.5,False
TICK-00319,CUST-0151,24,25.5,-1.5,True
TICK-00320,CUST-0014,8,6.6,1.4,False
TICK-00321,CUST-0078,24,9.0,15.0,False
TICK-00322,CUST-0026,72,51.3,20.7,False
TICK-00323,CUST-0079,24,12.9,11.1,False
TICK-00324,CUST-0107,8,5.1,2.9,False
TICK-00325,CUST-0154,72,46.3,25.7,False
TICK-00326,CUST-0069,72,122.9,-50.9,True
TICK-00327,CUST-0176,72,6.4,65.6,False
TICK-00328,CUST-0121,24,8.6,15.4,False
TICK-00329,CUST-0011,72,179.8,-107.8,True
TICK-00330,CUST-0073,24,19.9,4.1,False
TICK-00331,CUST-0059,8,5.2,2.8,False
TICK-00332,CUST-0073,24,14.7,9.3,False
TICK-00333,CUST-0175,24,7.2,16.8,False
TICK-00334,CUST-0084,72,39.1,32.9,False
TICK-00335,CUST-0198,24,67.5,-43.5,True
TICK-00336,CUST-0132,72,30.1,41.9,False
TICK-00337,CUST-0127,72,36.9,35.1,False
TICK-00338,CUST-0131,24,84.7,-60.7,True
TICK-00339,CUST-0077,72,1.4,70.6,False
TICK-00340,CUST-0123,72,52.9,19.1,False
TICK-00341,CUST-0167,72,231.6,-159.6,True
TICK-00342,CUST-0116,24,12.1,11.9,False
TICK-00343,CUST-0132,72,42.1,29.9,False
TICK-00344,CUST-0166,2,7.1,-5.1,True
TICK-00345,CUST-0183,8,4.4,3.6,False
TICK-00346,CUST-0127,72,8.0,64.0,False
TICK-00347,CUST-0091,24,78.4,-54.4,True
TICK-00348,CUST-0027,24,8.0,16.0,False
TICK-00349,CUST-0107,8,1.9,6.1,False
TICK-00350,CUST-0110,72,20.5,51.5,False
TICK-00351,CUST-0010,24,76.0,-52.0,True
TICK-00352,CUST-0072,72,57.1,14.9,False
TICK-00353,CUST-0186,72,57.7,14.3,False
TICK-00354,CUST-0186,72,47.8,24.2,False
TICK-00355,CUST-0191,24,15.5,8.5,False
TICK-00356,CUST-0050,24,8.1,15.9,False
TICK-00357,CUST-0102,72,8.6,63.4,False
TICK-00358,CUST-0009,8,2.8,5.2,False
TICK-00359,CUST-0037,72,20.2,51.8,False
TICK-00360,CUST-0122,72,215.5,-143.5,True
TICK-00361,CUST-0087,24,14.0,10.0,False
TICK-00362,CUST-0148,24,84.4,-60.4,True
TICK-00363,CUST-0083,24,4.1,19.9,False
TICK-00364,CUST-0174,24,5.3,18.7,False
TICK-00365,CUST-0099,72,38.1,33.9,False
TICK-00366,CUST-0033,72,52.7,19.3,False
TICK-00367,CUST-0016,72,34.7,37.3,False
TICK-00368,CUST-0032,72,43.0,29.0,False
TICK-00369,CUST-0154,72,35.0,37.0,False
TICK-00370,CUST-0172,72,1.5,70.5,False
TICK-00371,CUST-0050,24,21.3,2.7,False
TICK-00372,CUST-0129,24,87.4,-63.4,True
TICK-00373,CUST-0178,72,33.7,38.3,False
TICK-00374,CUST-0185,24,54.5,-30.5,True
TICK-00375,CUST-0085,24,61.4,-37.4,True
TICK-00376,CUST-0159,24,9.4,14.6,False
TICK-00377,CUST-0076,72,22.1,49.9,False
TICK-00378,CUST-0050,24,3.1,20.9,False
TICK-00379,CUST-0112,24,14.7,9.3,False
TICK-00380,CUST-0144,72,21.9,50.1,False
TICK-00381,CUST-0117,72,61.7,10.3,False
TICK-00382,CUST-0103,72,115.0,-43.0,True
TICK-00383,CUST-0185,24,46.0,-22.0,True
TICK-00384,CUST-0044,2,0.8,1.2,False
TICK-00385,CUST-0012,72,5.5,66.5,False
TICK-00386,CUST-0043,72,26.1,45.9,False
TICK-00387,CUST-0116,24,7.7,16.3,False
TICK-00388,CUST-0110,72,32.6,39.4,False
TICK-00389,CUST-0026,72,73.8,-1.8,True
TICK-00390,CUST-0104,72,38.1,33.9,False
TICK-00391,CUST-0022,72,42.8,29.2,False
TICK-00392,CUST-0176,72,39.2,32.8,False
TICK-00393,CUST-0101,8,1.5,6.5,False
TICK-00394,CUST-0053,72,4.6,67.4,False
TICK-00395,CUST-0111,8,6.0,2.0,False
TICK-00396,CUST-0126,72,58.3,13.7,False
TICK-00397,CUST-0047,72,160.8,-88.8,True
TICK-00398,CUST-0027,24,8.7,15.3,False
TICK-00399,CUST-0030,8,0.3,7.7,False
TICK-00400,CUST-0190,72,247.3,-175.3,True
TICK-00401,CUST-0014,8,0.6,7.4,False
TICK-00402,CUST-0043,72,98.1,-26.1,True
TICK-00403,CUST-0004,24,31.3,-7.3,True
TICK-00404,CUST-0084,72,1.3,70.7,False
TICK-00405,CUST-0060,24,3.4,20.6,False
TICK-00406,CUST-0186,72,143.6,-71.6,True
TICK-00407,CUST-0171,72,83.3,-11.3,True
TICK-00408,CUST-0045,2,0.7,1.3,False
TICK-00409,CUST-0124,24,2.0,22.0,False
TICK-00410,CUST-0187,2,1.0,1.0,False
TICK-00411,CUST-0102,72,62.0,10.0,False
TICK-00412,CUST-0177,24,9.9,14.1,False
TICK-00413,CUST-0170,72,126.6,-54.6,True
TICK-00414,CUST-0098,8,0.2,7.8,False
TICK-00415,CUST-0018,72,169.3,-97.3,True
TICK-00416,CUST-0047,72,4.4,67.6,False
TICK-00417,CUST-0173,24,21.3,2.7,False
TICK-00418,CUST-0087,24,18.8,5.2,False
TICK-00419,CUST-0036,8,2.7,5.3,False
TICK-00420,CUST-0174,24,87.1,-63.1,True
TICK-00421,CUST-0078,24,21.5,2.5,False
TICK-00422,CUST-0099,72,143.9,-71.9,True
TICK-00423,CUST-0154,72,38.5,33.5,False
TICK-00424,CUST-0095,72,39.1,32.9,False
TICK-00425,CUST-0118,24,6.8,17.2,False
TICK-00426,CUST-0147,72,239.6,-167.6,True
TICK-00427,CUST-0169,24,20.0,4.0,False
TICK-00428,CUST-0149,72,48.5,23.5,False
TICK-00429,CUST-0027,24,32.4,-8.4,True
TICK-00430,CUST-0161,72,56.1,15.9,False
TICK-00431,CUST-0095,72,41.8,30.2,False
TICK-00432,CUST-0084,72,13.6,58.4,False
TICK-00433,CUST-0047,72,23.7,48.3,False
TICK-00434,CUST-0001,24,11.1,12.9,False
TICK-00435,CUST-0010,24,8.4,15.6,False
TICK-00436,CUST-0066,72,27.3,44.7,False
TICK-00437,CUST-0098,8,5.8,2.2,False
TICK-00438,CUST-0057,72,58.1,13.9,False
TICK-00439,CUST-0047,72,36.9,35.1,False
TICK-00440,CUST-0095,72,262.4,-190.4,True
TICK-00441,CUST-0079,24,20.2,3.8,False
TICK-00442,CUST-0174,24,1.1,22.9,False
TICK-00443,CUST-0196,2,3.5,-1.5,True
TICK-00444,CUST-0068,72,29.9,42.1,False
TICK-00445,CUST-0185,24,8.7,15.3,False
TICK-00446,CUST-0138,72,18.6,53.4,False
TICK-00447,CUST-0009,8,5.7,2.3,False
TICK-00448,CUST-0100,72,18.9,53.1,False
TICK-00449,CUST-0159,24,4.2,19.8,False
TICK-00450,CUST-0010,24,10.5,13.5,False
TICK-00451,CUST-0069,72,12.1,59.9,False
TICK-00452,CUST-0025,8,6.4,1.6,False
TICK-00453,CUST-0011,72,3.0,69.0,False
TICK-00454,CUST-0195,72,180.8,-108.8,True
TICK-00455,CUST-0034,72,33.1,38.9,False
TICK-00456,CUST-0048,72,11.3,60.7,False
TICK-00457,CUST-0164,72,45.8,26.2,False
TICK-00458,CUST-0157,8,5.0,3.0,False
TICK-00459,CUST-0142,72,12.2,59.8,False
TICK-00460,CUST-0187,2,1.0,1.0,False
TICK-00461,CUST-0006,72,53.1,18.9,False
TICK-00462,CUST-0145,8,0.9,7.1,False
TICK-00463,CUST-0007,8,4.5,3.5,False
TICK-00464,CUST-0022,72,18.7,53.3,False
TICK-00465,CUST-0095,72,96.4,-24.4,True
TICK-00466,CUST-0024,8,4.0,4.0,False
TICK-00467,CUST-0099,72,62.1,9.9,False
TICK-00468,CUST-0200,2,0.2,1.8,False
TICK-00469,CUST-0170,72,30.5,41.5,False
TICK-00470,CUST-0077,72,25.8,46.2,False
TICK-00471,CUST-0142,72,3.8,68.2,False
TICK-00472,CUST-0144,72,5.2,66.8,False
TICK-00473,CUST-0139,24,17.1,6.9,False
TICK-00474,CUST-0080,24,17.5,6.5,False
TICK-00475,CUST-0123,72,10.6,61.4,False
TICK-00476,CUST-0075,24,34.3,-10.3,True
TICK-00477,CUST-0023,8,31.5,-23.5,True
TICK-00478,CUST-0032,72,44.3,27.7,False
TICK-00479,CUST-0175,24,10.1,13.9,False
TICK-00480,CUST-0137,72,45.6,26.4,False
TICK-00481,CUST-0140,72,219.7,-147.7,True
TICK-00482,CUST-0037,72,136.1,-64.1,True
TICK-00483,CUST-0122,72,53.4,18.6,False
TICK-00484,CUST-0038,72,37.6,34.4,False
TICK-00485,CUST-0108,24,60.2,-36.2,True
TICK-00486,CUST-0117,72,54.8,17.2,False
TICK-00487,CUST-0026,72,52.3,19.7,False
TICK-00488,CUST-0199,2,1.6,0.4,False
TICK-00489,CUST-0107,8,7.0,1.0,False
TICK-00490,CUST-0014,8,1.1,6.9,False
TICK-00491,CUST-0196,2,1.1,0.9,False
TICK-00492,CUST-0188,72,18.0,54.0,False
TICK-00493,CUST-0149,72,31.9,40.1,False
TICK-00494,CUST-0161,72,286.6,-214.6,True
TICK-00495,CUST-0002,72,14.4,57.6,False
TICK-00496,CUST-0024,8,10.5,-2.5,True
TICK-00497,CUST-0185,24,19.2,4.8,False
TICK-00498,CUST-0166,2,0.7,1.3,False
TICK-00499,CUST-0085,24,82.1,-58.1,True
TICK-00500,CUST-0175,24,8.4,15.6,False
TICK-00501,CUST-0148,24,17.4,6.6,False
TICK-00502,CUST-0103,72,102.0,-30.0,True
TICK-00503,CUST-0058,8,4.5,3.5,False
TICK-00504,CUST-0036,8,15.7,-7.7,True
TICK-00505,CUST-0076,72,14.2,57.8,False
TICK-00506,CUST-0054,72,155.3,-83.3,True
TICK-00507,CUST-0200,2,0.2,1.8,False
TICK-00508,CUST-0141,72,12.4,59.6,False
TICK-00509,CUST-0127,72,57.2,14.8,False
TICK-00510,CUST-0188,72,19.9,52.1,False
TICK-00511,CUST-0043,72,30.8,41.2,False
TICK-00512,CUST-0029,24,42.5,-18.5,True
TICK-00513,CUST-0091,24,3.2,20.8,False
TICK-00514,CUST-0179,24,52.2,-28.2,True
TICK-00515,CUST-0049,24,3.4,20.6,False
TICK-00516,CUST-0078,24,3.1,20.9,False
TICK-00517,CUST-0197,72,209.6,-137.6,True
TICK-00518,CUST-0067,24,2.0,22.0,False
TICK-00519,CUST-0112,24,25.9,-1.9,True
TICK-00520,CUST-0078,24,87.0,-63.0,True
TICK-00521,CUST-0070,72,3.6,68.4,False
TICK-00522,CUST-0127,72,8.0,64.0,False
TICK-00523,CUST-0007,8,22.8,-14.8,True
TICK-00524,CUST-0037,72,43.3,28.7,False
TICK-00525,CUST-0119,72,58.8,13.2,False
TICK-00526,CUST-0071,72,46.4,25.6,False
TICK-00527,CUST-0078,24,12.6,11.4,False
TICK-00528,CUST-0188,72,85.4,-13.4,True
TICK-00529,CUST-0019,8,3.6,4.4,False
TICK-00530,CUST-0112,24,12.4,11.6,False
