ticket_id,service_name,affected_users,error_rate_percent,system_load_percent,work_is_blocked,observed_severity
TICK-00238,sync-engine,4,3.3,27,False,Low
TICK-00239,billing-api,26,61.4,93,False,Medium
TICK-00240,auth-service,1,2.4,67,False,Low
TICK-00241,notify-service,1,6.6,36,False,Low
TICK-00242,auth-service,35,72.1,93,True,High
TICK-00243,export-worker,8,36.5,54,False,Medium
TICK-00244,sync-engine,1,3.1,96,False,Low
TICK-00245,export-worker,4,0.8,79,False,Low
TICK-00246,billing-api,2,3.8,56,False,Low
TICK-00247,notify-service,1,5.0,40,False,Low
TICK-00248,auth-service,1,6.7,95,False,Low
TICK-00249,notify-service,7,17.5,20,True,High
TICK-00250,notify-service,1,4.9,71,False,Low
TICK-00251,web-app,2806,41.5,89,True,Critical
TICK-00252,web-app,1,5.8,75,False,Low
TICK-00253,billing-api,1,2.8,74,False,Low
TICK-00254,export-worker,1,5.9,79,False,Low
TICK-00255,web-app,1,6.2,78,False,Low
TICK-00256,sync-engine,4,56.6,57,True,High
TICK-00257,notify-service,1,1.4,39,False,Low
TICK-00258,web-app,28,26.4,41,False,Medium
TICK-00259,auth-service,3,7.0,56,False,Low
TICK-00260,sync-engine,158,13.8,94,True,Critical
TICK-00261,web-app,28,14.4,64,False,Medium
TICK-00262,billing-api,1,6.9,68,False,Low
TICK-00263,auth-service,18,11.7,68,True,High
TICK-00264,sync-engine,4628,24.7,33,True,Critical
TICK-00265,web-app,19,34.7,93,True,High
TICK-00266,web-app,1,5.5,27,False,Low
TICK-00267,auth-service,358,67.6,65,True,Critical
TICK-00268,auth-service,4574,78.1,24,False,Critical
TICK-00269,billing-api,1,0.3,82,False,Low
TICK-00270,notify-service,1,58.5,48,True,High
TICK-00271,web-app,2,1.1,41,False,Low
TICK-00272,sync-engine,259,13.0,95,True,Critical
TICK-00273,export-worker,7,75.4,73,True,High
TICK-00274,web-app,1,5.5,83,False,Low
TICK-00275,web-app,5,6.3,85,False,Low
TICK-00276,billing-api,1,3.0,29,False,Low
TICK-00277,billing-api,4,0.5,34,False,Low
TICK-00278,billing-api,28,49.0,95,False,Medium
TICK-00279,notify-service,4,47.4,24,True,High
TICK-00280,export-worker,1,3.8,40,False,Low
TICK-00281,export-worker,1,7.1,87,False,Low
TICK-00282,export-worker,1,0.9,79,False,Low
TICK-00283,export-worker,2,2.6,84,False,Low
TICK-00284,auth-service,1,7.1,30,False,Low
TICK-00285,sync-engine,4,44.9,22,True,High
TICK-00286,export-worker,4,1.1,41,False,Low
TICK-00287,sync-engine,13,67.4,39,False,Medium
TICK-00288,auth-service,36,53.0,23,False,Medium
TICK-00289,export-worker,4830,88.0,34,True,Critical
TICK-00290,auth-service,2,1.6,88,False,Low
TICK-00291,export-worker,209,6.1,64,True,Critical
TICK-00292,billing-api,1,4.8,46,False,Low
TICK-00293,web-app,2,2.3,25,False,Low
TICK-00294,sync-engine,28,86.6,51,True,High
TICK-00295,billing-api,1,6.8,94,False,Low
TICK-00296,billing-api,341,13.5,89,False,High
TICK-00297,billing-api,194,19.7,39,False,High
TICK-00298,export-worker,1,1.4,23,False,Low
TICK-00299,sync-engine,1,8.0,85,True,High
TICK-00300,sync-engine,1,1.2,55,False,Low
TICK-00301,auth-service,20,72.9,32,True,High
TICK-00302,export-worker,4,0.9,35,False,Low
TICK-00303,export-worker,2,4.4,74,False,Low
TICK-00304,sync-engine,1,3.2,95,False,Low
TICK-00305,sync-engine,349,37.0,97,False,High
TICK-00306,sync-engine,3,3.1,61,False,Low
TICK-00307,auth-service,1,4.4,75,False,Low
TICK-00308,auth-service,10,40.0,92,True,High
TICK-00309,export-worker,1,1.0,64,True,Low
TICK-00310,notify-service,3,1.4,61,False,Low
TICK-00311,web-app,3,1.6,84,False,Low
TICK-00312,billing-api,21,41.2,99,False,Medium
TICK-00313,export-worker,1,5.3,45,False,Low
TICK-00314,web-app,5,6.8,92,False,Low
TICK-00315,export-worker,1,5.2,96,False,Low
TICK-00316,export-worker,10,76.1,90,True,High
TICK-00317,billing-api,27,70.2,50,False,Medium
TICK-00318,billing-api,1,7.5,38,False,Low
TICK-00319,sync-engine,1,2.9,67,False,Low
TICK-00320,billing-api,9,53.1,76,False,Medium
TICK-00321,auth-service,3528,29.7,82,True,Critical
TICK-00322,auth-service,1,5.6,43,False,Low
TICK-00323,billing-api,22,83.6,53,True,High
TICK-00324,auth-service,3,1.8,79,False,Low
TICK-00325,sync-engine,4,88.5,83,True,High
TICK-00326,auth-service,28,76.3,57,True,High
TICK-00327,sync-engine,4,5.7,96,False,Low
TICK-00328,notify-service,1,2.0,68,False,Low
TICK-00329,export-worker,5,2.1,25,False,Low
TICK-00330,web-app,1,5.9,39,False,Low
TICK-00331,web-app,24,55.5,83,False,Medium
TICK-00332,auth-service,5,1.4,51,False,Low
TICK-00333,export-worker,382,45.9,96,True,Critical
TICK-00334,sync-engine,1,6.4,29,False,Low
TICK-00335,web-app,1,2.4,59,False,Low
TICK-00336,auth-service,13,43.3,85,False,Medium
TICK-00337,billing-api,10,32.0,86,False,Medium
TICK-00338,web-app,5,71.6,42,True,High
TICK-00339,export-worker,114,93.4,33,True,Critical
TICK-00340,billing-api,4,0.7,21,False,Low
TICK-00341,auth-service,31,43.0,41,True,High
TICK-00342,sync-engine,4,6.8,94,False,Low
TICK-00343,notify-service,35,56.9,28,True,High
TICK-00344,sync-engine,138,57.9,63,True,Critical
TICK-00345,billing-api,1,5.3,42,False,Low
TICK-00346,web-app,5,10.7,34,True,High
TICK-00347,web-app,1,7.4,78,False,Low
TICK-00348,web-app,1,6.1,32,False,Low
TICK-00349,web-app,1,5.7,66,False,Low
TICK-00350,notify-service,2,5.7,28,False,Low
TICK-00351,sync-engine,4,3.2,90,False,Low
TICK-00352,sync-engine,1,7.1,71,False,Low
TICK-00353,sync-engine,35,35.7,40,False,Medium
TICK-00354,auth-service,9,63.6,77,True,High
TICK-00355,sync-engine,1,5.3,93,False,Low
TICK-00356,web-app,1,7.1,47,False,Low
TICK-00357,billing-api,1,1.2,82,False,Low
TICK-00358,auth-service,1,4.6,86,False,Low
TICK-00359,auth-service,2,36.4,73,True,High
TICK-00360,export-worker,1,6.9,31,False,Low
TICK-00361,export-worker,4885,74.4,91,False,Critical
TICK-00362,billing-api,1,2.2,51,False,Low
TICK-00363,notify-service,1,7.8,41,False,Low
TICK-00364,web-app,11,34.2,35,False,Medium
TICK-00365,auth-service,1,7.3,54,False,Low
TICK-00366,notify-service,17,43.1,77,True,High
TICK-00367,export-worker,1,6.7,25,False,Low
TICK-00368,sync-engine,1,5.1,77,False,Low
TICK-00369,sync-engine,1621,85.6,82,True,Critical
TICK-00370,web-app,1,7.5,21,False,Low
TICK-00371,notify-service,163,68.4,46,True,Critical
TICK-00372,export-worker,39,10.9,92,False,Medium
TICK-00373,web-app,3,3.5,55,False,Low
TICK-00374,sync-engine,7,77.7,48,False,Medium
TICK-00375,export-worker,148,47.6,26,True,Critical
TICK-00376,auth-service,2,6.4,58,False,Low
TICK-00377,web-app,1,3.7,99,False,Low
TICK-00378,notify-service,18,48.3,76,True,High
TICK-00379,auth-service,21,31.2,86,False,Medium
TICK-00380,export-worker,1,4.8,94,False,Low
TICK-00381,billing-api,1,5.0,81,False,Low
TICK-00382,export-worker,245,57.7,25,True,Critical
TICK-00383,auth-service,366,63.9,63,True,Critical
TICK-00384,billing-api,1,6.4,88,False,Low
TICK-00385,notify-service,1,6.8,82,False,Low
TICK-00386,web-app,25,48.5,80,False,Medium
TICK-00387,auth-service,1,0.7,57,False,Low
TICK-00388,export-worker,4,5.2,30,False,Low
TICK-00389,sync-engine,117,94.8,89,True,Critical
TICK-00390,billing-api,1,5.8,80,False,Low
TICK-00391,export-worker,25,83.6,21,True,High
TICK-00392,export-worker,1,7.8,92,False,Low
TICK-00393,sync-engine,1,0.3,97,False,Low
TICK-00394,notify-service,27,15.0,73,True,High
TICK-00395,auth-service,1,2.2,38,False,Low
TICK-00396,billing-api,27,77.9,73,False,Medium
TICK-00397,sync-engine,1,5.6,47,False,Low
TICK-00398,web-app,6,65.8,68,False,Medium
TICK-00399,export-worker,4,1.1,40,False,Low
TICK-00400,web-app,3,4.3,26,False,Low
TICK-00401,export-worker,1,7.9,44,False,Low
TICK-00402,notify-service,5,1.7,70,False,Low
TICK-00403,notify-service,1,3.3,83,False,Low
TICK-00404,sync-engine,1,7.8,81,False,Low
TICK-00405,export-worker,17,10.4,83,False,Medium
TICK-00406,auth-service,28,31.0,49,False,Medium
TICK-00407,web-app,1,0.5,28,False,Low
TICK-00408,billing-api,12,27.0,97,False,Medium
TICK-00409,auth-service,1476,76.4,68,False,Critical
TICK-00410,billing-api,10,22.6,20,False,Medium
TICK-00411,billing-api,1,7.5,44,False,Low
TICK-00412,sync-engine,3,0.2,38,False,Low
TICK-00413,web-app,1,7.3,41,False,Low
TICK-00414,sync-engine,11,23.9,70,False,Medium
TICK-00415,billing-api,1,1.6,84,False,Low
TICK-00416,auth-service,1,0.6,68,False,Low
TICK-00417,auth-service,1,4.2,68,False,Low
TICK-00418,export-worker,4,7.8,32,False,Low
TICK-00419,sync-engine,34,21.9,61,True,High
TICK-00420,billing-api,8,31.4,38,False,Medium
TICK-00421,sync-engine,1,1.7,31,False,Low
TICK-00422,web-app,1,5.1,31,False,Low
TICK-00423,auth-service,1,2.3,31,False,Low
TICK-00424,export-worker,218,33.8,36,False,High
TICK-00425,sync-engine,1394,81.4,24,True,Critical
TICK-00426,billing-api,15,89.1,26,False,Medium
TICK-00427,notify-service,1,3.1,56,False,Low
TICK-00428,billing-api,1,2.3,46,False,Low
TICK-00429,web-app,8,37.0,42,False,Medium
TICK-00430,sync-engine,4,6.2,31,False,Low
TICK-00431,billing-api,1,6.4,69,False,Low
TICK-00432,sync-engine,3,4.3,35,False,Low
TICK-00433,auth-service,4807,72.8,35,True,Critical
TICK-00434,notify-service,2,67.6,65,True,High
TICK-00435,auth-service,19,61.0,90,True,High
TICK-00436,sync-engine,25,55.7,85,False,Medium
TICK-00437,export-worker,740,13.0,54,True,Critical
TICK-00438,notify-service,3,6.9,54,False,Low
TICK-00439,billing-api,152,51.2,36,True,Critical
TICK-00440,web-app,5,2.3,86,False,Low
TICK-00441,auth-service,3,7.4,74,False,Low
TICK-00442,billing-api,1,6.0,87,False,Low
TICK-00443,auth-service,4,3.0,63,False,Low
TICK-00444,auth-service,257,81.4,65,False,High
TICK-00445,billing-api,28,48.9,52,True,High
TICK-00446,sync-engine,1,2.9,45,False,Low
TICK-00447,billing-api,5,5.5,61,False,Low
TICK-00448,notify-service,626,35.8,21,True,Critical
TICK-00449,auth-service,14,75.4,84,False,Medium
TICK-00450,billing-api,5,62.0,48,True,High
TICK-00451,export-worker,1,2.3,97,False,Low
TICK-00452,billing-api,2,5.2,94,False,Low
TICK-00453,billing-api,21,94.1,88,False,Medium
TICK-00454,web-app,1,0.5,87,False,Low
TICK-00455,auth-service,370,51.2,41,True,Critical
TICK-00456,sync-engine,2320,24.8,54,True,Critical
TICK-00457,export-worker,20,61.9,61,False,Medium
TICK-00458,notify-service,151,53.4,33,False,High
TICK-00459,auth-service,29,86.2,83,True,High
TICK-00460,web-app,6,43.4,71,True,High
TICK-00461,auth-service,11,59.0,33,False,Medium
TICK-00462,auth-service,1,1.0,33,False,Low
TICK-00463,auth-service,33,14.9,56,True,High
TICK-00464,sync-engine,1,7.1,58,False,Low
TICK-00465,sync-engine,1,3.1,81,False,Low
TICK-00466,sync-engine,40,35.0,51,True,High
TICK-00467,auth-service,140,23.3,66,True,Critical
TICK-00468,auth-service,1,6.0,38,False,Low
TICK-00469,web-app,1,79.8,39,True,High
TICK-00470,billing-api,5,0.3,84,False,Low
TICK-00471,billing-api,5,3.0,47,False,Low
TICK-00472,billing-api,1,5.2,54,False,Low
TICK-00473,notify-service,17,92.9,25,True,High
TICK-00474,sync-engine,1,2.7,84,False,Low
TICK-00475,sync-engine,16,77.7,38,False,Medium
TICK-00476,web-app,1,4.5,32,False,Low
TICK-00477,web-app,3,1.4,53,False,Low
TICK-00478,notify-service,1,4.1,60,False,Low
TICK-00479,auth-service,1,4.6,48,False,Low
TICK-00480,export-worker,1,0.5,97,False,Low
TICK-00481,billing-api,29,24.2,22,False,Medium
TICK-00482,web-app,114,13.3,63,False,High
TICK-00483,billing-api,59,57.1,61,False,High
TICK-00484,sync-engine,4,6.9,77,False,Low
TICK-00485,auth-service,25,78.2,58,False,Medium
TICK-00486,notify-service,3,4.8,75,False,Low
TICK-00487,auth-service,1,7.4,76,False,Low
TICK-00488,billing-api,4,38.7,84,True,High
TICK-00489,notify-service,3,1.4,75,False,Low
TICK-00490,billing-api,1,1.3,32,False,Low
TICK-00491,billing-api,4,74.3,23,True,High
TICK-00492,web-app,294,70.4,53,False,High
TICK-00493,export-worker,1,4.0,46,False,Low
TICK-00494,auth-service,111,61.8,35,True,Critical
TICK-00495,billing-api,98,37.8,23,True,High
TICK-00496,sync-engine,118,22.8,55,True,Critical
TICK-00497,sync-engine,239,36.8,28,False,High
TICK-00498,export-worker,1,1.7,67,False,Low
TICK-00499,sync-engine,35,55.5,97,True,High
TICK-00500,billing-api,1,1.0,96,False,Low
TICK-00501,auth-service,1,5.2,80,False,Low
TICK-00502,billing-api,211,14.2,26,False,High
TICK-00503,auth-service,1,90.2,53,True,High
TICK-00504,sync-engine,5,4.6,82,False,Low
TICK-00505,auth-service,1,7.8,47,False,Low
TICK-00506,billing-api,1,0.8,48,False,Low
TICK-00507,auth-service,3,0.9,78,False,Low
TICK-00508,web-app,159,9.4,74,True,Critical
TICK-00509,notify-service,1,1.9,32,False,Low
TICK-00510,notify-service,1,0.8,99,False,Low
TICK-00511,auth-service,155,20.4,96,False,High
TICK-00512,web-app,3,2.7,64,False,Low
TICK-00513,web-app,35,6.9,48,True,High
TICK-00514,sync-engine,1,1.4,64,False,Low
TICK-00515,sync-engine,167,5.8,38,True,Critical
TICK-00516,export-worker,1,0.0,20,False,Low
TICK-00517,export-worker,2582,47.6,51,True,Critical
TICK-00518,notify-service,1,1.1,45,False,Low
TICK-00519,web-app,238,91.5,23,True,Critical
TICK-00520,auth-service,1,3.2,79,False,Low
TICK-00521,notify-service,1,1.0,85,False,Low
TICK-00522,auth-service,339,15.3,39,False,High
TICK-00523,notify-service,1,2.1,76,False,Low
TICK-00524,auth-service,1,2.3,95,False,Low
TICK-00525,notify-service,1,7.1,76,False,Low
TICK-00526,export-worker,1,5.2,92,False,Low
TICK-00527,sync-engine,1,2.1,61,False,Low
TICK-00528,web-app,1,1.4,73,False,Low
TICK-00529,notify-service,4,5.1,45,False,Low
TICK-00530,auth-service,1,6.5,66,False,Low
TICK-00531,sync-engine,1,3.5,68,False,Low
TICK-00532,export-worker,1,1.3,29,False,Low
TICK-00533,export-worker,1,2.1,27,False,Low
TICK-00534,auth-service,4,4.9,90,False,Low
TICK-00535,web-app,2,4.3,22,False,Low
TICK-00536,auth-service,29,26.4,95,False,Medium
TICK-00537,export-worker,5,27.0,36,True,High
TICK-00538,sync-engine,207,31.3,51,False,High
TICK-00539,billing-api,1,3.0,24,False,Low
TICK-00540,web-app,33,39.4,25,True,High
TICK-00541,web-app,34,79.6,74,True,High
TICK-00542,web-app,1,1.3,79,False,Low
TICK-00543,export-worker,1,2.2,52,False,Low
TICK-00544,auth-service,1,1.7,94,False,Low
TICK-00545,auth-service,1,0.9,43,False,Low
TICK-00546,notify-service,1,0.9,76,False,Low
TICK-00547,notify-service,25,92.6,23,False,Medium
TICK-00548,sync-engine,26,7.9,39,False,Medium
TICK-00549,export-worker,4069,51.8,54,False,Critical
TICK-00550,export-worker,7,50.5,81,True,High
TICK-00551,auth-service,1,2.7,30,False,Low
TICK-00552,web-app,1,8.1,23,True,High
TICK-00553,notify-service,1,4.7,33,False,Low
